Ad ID,Date,Ad name,Ad entity status,Spend in account currency,Ad group name,Ad group,Campaign ID,Campaign name,Earned impressions,Earned saves,Impressions,Paid impressions,Paid saves,Paid video played at 100%,Paid video played at 25%,Paid video played at 75%,Paid video played at 95%,Pin clicks,Earned Pin clicks,Paid Pin clicks,Organic pin ID
PP687214593388,2021-05-04,Image_Square_NAN_Firefly Easter 1x1_Boost_NAN_NAN_National_03.24.21-04.04.21,ACTIVE,0,Pinterest_Static Display Pin_High Affinity_Core_Parents (Kids 3-8)_1st Party Data_Website_Landing Page Views_All Products_NAN_NAN_NAN_03.24.21-04.04.21,AG2680068058396,C626743710605,PERR_Firefly_Firefly Pinterest 2021_Traffic_NAN_NAN_Tentpole Moments,1,0,1,0,0,0,0,0,0,0,0,0,P908742031029907519
PP687214593388,2021-05-05,Image_Square_NAN_Firefly Easter 1x1_Boost_NAN_NAN_National_03.24.21-04.04.21,ACTIVE,0,Pinterest_Static Display Pin_High Affinity_Core_Parents (Kids 3-8)_1st Party Data_Website_Landing Page Views_All Products_NAN_NAN_NAN_03.24.21-04.04.21,AG2680068058396,C626743710605,PERR_Firefly_Firefly Pinterest 2021_Traffic_NAN_NAN_Tentpole Moments,1,0,1,0,0,0,0,0,0,0,0,0,P908742031029907519
PP687214593388,2021-05-08,Image_Square_NAN_Firefly Easter 1x1_Boost_NAN_NAN_National_03.24.21-04.04.21,ACTIVE,0,Pinterest_Static Display Pin_High Affinity_Core_Parents (Kids 3-8)_1st Party Data_Website_Landing Page Views_All Products_NAN_NAN_NAN_03.24.21-04.04.21,AG2680068058396,C626743710605,PERR_Firefly_Firefly Pinterest 2021_Traffic_NAN_NAN_Tentpole Moments,1,0,1,0,0,0,0,0,0,0,0,0,P908742031029907519
PP687214593388,2021-05-12,Image_Square_NAN_Firefly Easter 1x1_Boost_NAN_NAN_National_03.24.21-04.04.21,ACTIVE,0,Pinterest_Static Display Pin_High Affinity_Core_Parents (Kids 3-8)_1st Party Data_Website_Landing Page Views_All Products_NAN_NAN_NAN_03.24.21-04.04.21,AG2680068058396,C626743710605,PERR_Firefly_Firefly Pinterest 2021_Traffic_NAN_NAN_Tentpole Moments,2,0,2,0,0,0,0,0,0,0,0,0,P908742031029907519
PP687214593389,2021-05-04,Image_Square_NAN_Firefly Easter 2x3_Boost_NAN_NAN_National_03.24.21-04.04.22,ACTIVE,0,Pinterest_Static Display Pin_High Affinity_Core_Parents (Kids 3-8)_1st Party Data_Website_Landing Page Views_All Products_NAN_NAN_NAN_03.24.21-04.04.21,AG2680068058396,C626743710605,PERR_Firefly_Firefly Pinterest 2021_Traffic_NAN_NAN_Tentpole Moments,60,0,60,0,0,0,0,0,0,3,3,0,P908742031029907526
PP687214593389,2021-05-05,Image_Square_NAN_Firefly Easter 2x3_Boost_NAN_NAN_National_03.24.21-04.04.22,ACTIVE,0,Pinterest_Static Display Pin_High Affinity_Core_Parents (Kids 3-8)_1st Party Data_Website_Landing Page Views_All Products_NAN_NAN_NAN_03.24.21-04.04.21,AG2680068058396,C626743710605,PERR_Firefly_Firefly Pinterest 2021_Traffic_NAN_NAN_Tentpole Moments,28,0,28,0,0,0,0,0,0,0,0,0,P908742031029907526
PP687214593389,2021-05-06,Image_Square_NAN_Firefly Easter 2x3_Boost_NAN_NAN_National_03.24.21-04.04.22,ACTIVE,0,Pinterest_Static Display Pin_High Affinity_Core_Parents (Kids 3-8)_1st Party Data_Website_Landing Page Views_All Products_NAN_NAN_NAN_03.24.21-04.04.21,AG2680068058396,C626743710605,PERR_Firefly_Firefly Pinterest 2021_Traffic_NAN_NAN_Tentpole Moments,48,0,48,0,0,0,0,0,0,0,0,0,P908742031029907526
PP687214593389,2021-05-07,Image_Square_NAN_Firefly Easter 2x3_Boost_NAN_NAN_National_03.24.21-04.04.22,ACTIVE,0,Pinterest_Static Display Pin_High Affinity_Core_Parents (Kids 3-8)_1st Party Data_Website_Landing Page Views_All Products_NAN_NAN_NAN_03.24.21-04.04.21,AG2680068058396,C626743710605,PERR_Firefly_Firefly Pinterest 2021_Traffic_NAN_NAN_Tentpole Moments,89,0,89,0,0,0,0,0,0,0,0,0,P908742031029907526
PP687214593389,2021-05-08,Image_Square_NAN_Firefly Easter 2x3_Boost_NAN_NAN_National_03.24.21-04.04.22,ACTIVE,0,Pinterest_Static Display Pin_High Affinity_Core_Parents (Kids 3-8)_1st Party Data_Website_Landing Page Views_All Products_NAN_NAN_NAN_03.24.21-04.04.21,AG2680068058396,C626743710605,PERR_Firefly_Firefly Pinterest 2021_Traffic_NAN_NAN_Tentpole Moments,69,0,69,0,0,0,0,0,0,0,0,0,P908742031029907526
PP687214593389,2021-05-09,Image_Square_NAN_Firefly Easter 2x3_Boost_NAN_NAN_National_03.24.21-04.04.22,ACTIVE,0,Pinterest_Static Display Pin_High Affinity_Core_Parents (Kids 3-8)_1st Party Data_Website_Landing Page Views_All Products_NAN_NAN_NAN_03.24.21-04.04.21,AG2680068058396,C626743710605,PERR_Firefly_Firefly Pinterest 2021_Traffic_NAN_NAN_Tentpole Moments,25,0,25,0,0,0,0,0,0,0,0,0,P908742031029907526
PP687214593389,2021-05-10,Image_Square_NAN_Firefly Easter 2x3_Boost_NAN_NAN_National_03.24.21-04.04.22,ACTIVE,0,Pinterest_Static Display Pin_High Affinity_Core_Parents (Kids 3-8)_1st Party Data_Website_Landing Page Views_All Products_NAN_NAN_NAN_03.24.21-04.04.21,AG2680068058396,C626743710605,PERR_Firefly_Firefly Pinterest 2021_Traffic_NAN_NAN_Tentpole Moments,59,0,59,0,0,0,0,0,0,0,0,0,P908742031029907526
PP687214593389,2021-05-11,Image_Square_NAN_Firefly Easter 2x3_Boost_NAN_NAN_National_03.24.21-04.04.22,ACTIVE,0,Pinterest_Static Display Pin_High Affinity_Core_Parents (Kids 3-8)_1st Party Data_Website_Landing Page Views_All Products_NAN_NAN_NAN_03.24.21-04.04.21,AG2680068058396,C626743710605,PERR_Firefly_Firefly Pinterest 2021_Traffic_NAN_NAN_Tentpole Moments,70,0,70,0,0,0,0,0,0,1,1,0,P908742031029907526
PP687214593389,2021-05-12,Image_Square_NAN_Firefly Easter 2x3_Boost_NAN_NAN_National_03.24.21-04.04.22,ACTIVE,0,Pinterest_Static Display Pin_High Affinity_Core_Parents (Kids 3-8)_1st Party Data_Website_Landing Page Views_All Products_NAN_NAN_NAN_03.24.21-04.04.21,AG2680068058396,C626743710605,PERR_Firefly_Firefly Pinterest 2021_Traffic_NAN_NAN_Tentpole Moments,16,0,16,0,0,0,0,0,0,0,0,0,P908742031029907526
PP687214593389,2021-05-13,Image_Square_NAN_Firefly Easter 2x3_Boost_NAN_NAN_National_03.24.21-04.04.22,ACTIVE,0,Pinterest_Static Display Pin_High Affinity_Core_Parents (Kids 3-8)_1st Party Data_Website_Landing Page Views_All Products_NAN_NAN_NAN_03.24.21-04.04.21,AG2680068058396,C626743710605,PERR_Firefly_Firefly Pinterest 2021_Traffic_NAN_NAN_Tentpole Moments,27,0,27,0,0,0,0,0,0,0,0,0,P908742031029907526
PP687214593389,2021-05-14,Image_Square_NAN_Firefly Easter 2x3_Boost_NAN_NAN_National_03.24.21-04.04.22,ACTIVE,0,Pinterest_Static Display Pin_High Affinity_Core_Parents (Kids 3-8)_1st Party Data_Website_Landing Page Views_All Products_NAN_NAN_NAN_03.24.21-04.04.21,AG2680068058396,C626743710605,PERR_Firefly_Firefly Pinterest 2021_Traffic_NAN_NAN_Tentpole Moments,22,0,22,0,0,0,0,0,0,0,0,0,P908742031029907526
PP687214593389,2021-05-15,Image_Square_NAN_Firefly Easter 2x3_Boost_NAN_NAN_National_03.24.21-04.04.22,ACTIVE,0,Pinterest_Static Display Pin_High Affinity_Core_Parents (Kids 3-8)_1st Party Data_Website_Landing Page Views_All Products_NAN_NAN_NAN_03.24.21-04.04.21,AG2680068058396,C626743710605,PERR_Firefly_Firefly Pinterest 2021_Traffic_NAN_NAN_Tentpole Moments,61,0,61,0,0,0,0,0,0,0,0,0,P908742031029907526
PP687214593389,2021-05-16,Image_Square_NAN_Firefly Easter 2x3_Boost_NAN_NAN_National_03.24.21-04.04.22,ACTIVE,0,Pinterest_Static Display Pin_High Affinity_Core_Parents (Kids 3-8)_1st Party Data_Website_Landing Page Views_All Products_NAN_NAN_NAN_03.24.21-04.04.21,AG2680068058396,C626743710605,PERR_Firefly_Firefly Pinterest 2021_Traffic_NAN_NAN_Tentpole Moments,54,0,54,0,0,0,0,0,0,0,0,0,P908742031029907526
PP687214593389,2021-05-17,Image_Square_NAN_Firefly Easter 2x3_Boost_NAN_NAN_National_03.24.21-04.04.22,ACTIVE,0,Pinterest_Static Display Pin_High Affinity_Core_Parents (Kids 3-8)_1st Party Data_Website_Landing Page Views_All Products_NAN_NAN_NAN_03.24.21-04.04.21,AG2680068058396,C626743710605,PERR_Firefly_Firefly Pinterest 2021_Traffic_NAN_NAN_Tentpole Moments,21,0,21,0,0,0,0,0,0,0,0,0,P908742031029907526
